tube_assembly_id|item|component|quantity
TA-00001|component_id_1|C-1622|2 
TA-00001|component_id_2|C-1629|2 
TA-00002|component_id_1|C-1312|2 
TA-00003|component_id_1|C-1312|2 
TA-00004|component_id_1|C-1312|2 
TA-00005|component_id_1|C-1624|1 
TA-00005|component_id_2|C-1631|1 
TA-00005|component_id_3|C-1641|1 
TA-00006|component_id_1|C-1624|1 
TA-00006|component_id_2|C-1631|1 
TA-00006|component_id_3|C-1641|1 
TA-00007|component_id_1|C-1622|2 
TA-00007|component_id_2|C-1629|2 
TA-00008|component_id_1|C-1312|2 
TA-00009|component_id_1|C-1625|2 
TA-00009|component_id_2|C-1632|2 
TA-00010|component_id_1|C-1768|2 
TA-00011|component_id_1|C-1312|2 
TA-00012|component_id_1|C-1312|2 
TA-00013|component_id_1|C-1259|1 
TA-00014|component_id_1|C-1622|2 
TA-00014|component_id_2|C-1629|2 
TA-00015|component_id_1|C-0448|2 
TA-00015|component_id_2|C-0449|2 
TA-00016|component_id_1|C-1349|1 
TA-00016|component_id_2|C-1934|1 
TA-00017|component_id_1|C-1349|1 
TA-00017|component_id_2|C-1933|1 
TA-00018|component_id_1|C-1555|1 
TA-00020|component_id_1|C-1369|2 
TA-00020|component_id_2|C-1374|2 
TA-00021|component_id_1|C-1369|2 
TA-00021|component_id_2|C-1374|2 
TA-00022|component_id_1|C-1229|2 
TA-00023|component_id_1|C-0823|2 
TA-00024|component_id_1|C-0823|2 
TA-00025|component_id_1|C-0823|2 
TA-00026|component_id_1|C-1555|1 
TA-00027|component_id_1|C-1845|2 
TA-00027|component_id_2|C-1846|2 
TA-00028|component_id_1|C-1970|1 
TA-00029|component_id_1|C-1420|1 
TA-00029|component_id_2|C-1421|1 
TA-00030|component_id_1|C-1621|2 
TA-00030|component_id_2|C-1628|2 
TA-00031|component_id_1|C-1621|2 
TA-00031|component_id_2|C-1628|2 
TA-00032|component_id_1|C-1818|1 
TA-00033|component_id_1|C-0823|2 
TA-00034|component_id_1|C-1362|1 
TA-00035|component_id_1|C-1420|1 
TA-00035|component_id_2|C-1421|1 
TA-00035|component_id_3|C-1850|1 
TA-00036|component_id_1|C-1621|2 
TA-00036|component_id_2|C-1628|2 
TA-00037|component_id_1|C-1243|1 
TA-00037|component_id_2|C-1244|1 
TA-00038|component_id_1|C-1621|1 
TA-00038|component_id_2|C-1628|1 
TA-00038|component_id_3|C-0022|1 
TA-00039|component_id_1|C-1620|2 
TA-00039|component_id_2|C-1627|2 
TA-00040|component_id_1|C-1621|1 
TA-00040|component_id_2|C-1622|1 
TA-00040|component_id_3|C-1628|1 
TA-00040|component_id_4|C-1660|1 
